"Well"	"Cycle"	"Rn"	"delta.RN"
"1"	"LZ06"	1	-379.8808	-35.7808
"2"	"LZ06"	2	-337.2026	19.3964
"3"	"LZ06"	3	-348.3864	20.7115
"4"	"LZ06"	4	-358.6738	22.9231
"5"	"LZ06"	5	-400.9698	-6.8739
"6"	"LZ06"	6	-411.04	-4.4452
"7"	"LZ06"	7	-414.4968	4.597
"8"	"LZ06"	8	-438.4997	-6.9069
"9"	"LZ06"	9	-468.6432	-24.5515
"10"	"LZ06"	10	-503.8941	-47.3035
"11"	"LZ06"	11	-477.0292	-7.9396
"12"	"LZ06"	12	-482.7023	-1.1137
"13"	"LZ06"	13	-482.8649	11.2227
"14"	"LZ06"	14	-490.4811	16.1054
"15"	"LZ06"	15	-495.511	23.5745
"16"	"LZ06"	16	-497.5909	33.9935
"17"	"LZ06"	17	-493.434	50.6494
"18"	"LZ06"	18	-494.5785	62.0038
"19"	"LZ06"	19	-497.5341	71.5472
"20"	"LZ06"	20	-507.785	73.7953
"21"	"LZ06"	21	-506.2996	87.7796
"22"	"LZ06"	22	-518.9402	87.6379
"23"	"LZ06"	23	-516.0418	103.0353
"24"	"LZ06"	24	-498.2935	133.2826
"25"	"LZ06"	25	-524.5643	119.5108
"26"	"LZ06"	26	-518.1935	138.3805
"27"	"LZ06"	27	-526.6697	142.4032
"28"	"LZ06"	28	-525.2515	156.3205
"29"	"LZ06"	29	-516.0727	177.9982
"30"	"LZ06"	30	-536.226	170.3439
"31"	"LZ06"	31	-542.349	176.7198
"32"	"LZ06"	32	-559.2057	172.362
"33"	"LZ06"	33	-539.2902	204.7766
"34"	"LZ06"	34	-551.3522	205.2135
"35"	"LZ06"	35	-547.3428	221.7219
"36"	"LZ06"	36	-579.9999	201.5637
"37"	"LZ06"	37	-563.3499	230.7126
"38"	"LZ06"	38	-572.5288	234.0327
"39"	"LZ06"	39	-576.8119	242.2486
"40"	"LZ06"	40	-590.9794	240.58
"41"	"LZ14"	1	-1063.2048	47.9663
"42"	"LZ14"	2	-1048.1792	67.6991
"43"	"LZ14"	3	-1076.3733	44.2122
"44"	"LZ14"	4	-1105.4694	19.8233
"45"	"LZ14"	5	-1122.6412	7.3587
"46"	"LZ14"	6	-1148.7687	-14.0616
"47"	"LZ14"	7	-1164.9718	-25.5575
"48"	"LZ14"	8	-1162.0964	-17.9749
"49"	"LZ14"	9	-1184.1895	-35.3608
"50"	"LZ14"	10	-1187.1194	-33.5835
"51"	"LZ14"	11	-1171.8466	-13.6035
"52"	"LZ14"	12	-1159.7668	3.1834
"53"	"LZ14"	13	-1144.9669	22.6906
"54"	"LZ14"	14	-1158.1512	14.2134
"55"	"LZ14"	15	-1148.4117	28.6601
"56"	"LZ14"	16	-1158.5074	23.2716
"57"	"LZ14"	17	-1145.3506	41.1357
"58"	"LZ14"	18	-1139.255	51.9385
"59"	"LZ14"	19	-1158.2595	37.6411
"60"	"LZ14"	20	-1151.5283	49.0795
"61"	"LZ14"	21	-1145.8044	59.5106
"62"	"LZ14"	22	-1143.587	66.4352
"63"	"LZ14"	23	-1145.0289	69.7005
"64"	"LZ14"	24	-1144.3386	75.098
"65"	"LZ14"	25	-1161.7323	62.4115
"66"	"LZ14"	26	-1172.458	56.393
"67"	"LZ14"	27	-1178.8995	54.6587
"68"	"LZ14"	28	-1169.6481	68.6174
"69"	"LZ14"	29	-1212.1893	30.7833
"70"	"LZ14"	30	-1217.8003	29.8795
"71"	"LZ14"	31	-1207.5187	44.8683
"72"	"LZ14"	32	-1205.7671	51.3271
"73"	"LZ14"	33	-1213.7075	48.0939
"74"	"LZ14"	34	-1212.3865	54.1221
"75"	"LZ14"	35	-1204.6167	66.5991
"76"	"LZ14"	36	-1224.7251	51.1979
"77"	"LZ14"	37	-1228.187	52.4432
"78"	"LZ14"	38	-1228.2018	57.1356
"79"	"LZ14"	39	-1234.511	55.5336
"80"	"LZ14"	40	-1237.5841	57.1677
"81"	"LZ24"	1	-735.4381	42.2234
"82"	"LZ24"	2	-729.5699	56.7982
"83"	"LZ24"	3	-772.1036	22.971
"84"	"LZ24"	4	-807.7004	-3.9191
