* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-23  Muestras roedores 1.eds
* Experiment Run End Time = Not Started
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
A1	1	-35.7808
A1	2	19.3964
A1	3	20.7115
A1	4	22.9231
A1	5	-6.8739
A1	6	-4.4452
A1	7	4.597
A1	8	-6.9069
A1	9	-24.5515
A1	10	-47.3035
A1	11	-7.9396
A1	12	-1.1137
A1	13	11.2227
A1	14	16.1054
A1	15	23.5745
A1	16	33.9935
A1	17	50.6494
A1	18	62.0038
A1	19	71.5472
A1	20	73.7953
A1	21	87.7796
A1	22	87.6379
A1	23	103.0353
A1	24	133.2826
A1	25	119.5108
A1	26	138.3805
A1	27	142.4032
A1	28	156.3205
A1	29	177.9982
A1	30	170.3439
A1	31	176.7198
A1	32	172.362
A1	33	204.7766
A1	34	205.2135
A1	35	221.7219
A1	36	201.5637
A1	37	230.7126
A1	38	234.0327
A1	39	242.2486
A1	40	240.58
A2	1	47.9663
A2	2	67.6991
A2	3	44.2122
A2	4	19.8233
A2	5	7.3587
A2	6	-14.0616
A2	7	-25.5575
A2	8	-17.9749
A2	9	-35.3608
A2	10	-33.5835
A2	11	-13.6035
A2	12	3.1834
A2	13	22.6906
A2	14	14.2134
A2	15	28.6601
A2	16	23.2716
A2	17	41.1357
A2	18	51.9385
A2	19	37.6411
A2	20	49.0795
A2	21	59.5106
A2	22	66.4352
A2	23	69.7005
A2	24	75.098
A2	25	62.4115
A2	26	56.393
A2	27	54.6587
A2	28	68.6174
A2	29	30.7833
A2	30	29.8795
A2	31	44.8683
A2	32	51.3271
A2	33	48.0939
A2	34	54.1221
A2	35	66.5991
A2	36	51.1979
A2	37	52.4432
A2	38	57.1356
A2	39	55.5336
A2	40	57.1677
A3	1	42.2234
A3	2	56.7982
A3	3	22.971
A3	4	-3.9191
A3	5	-2.1882
A3	6	5.1351
A3	7	-3.9138
A3	8	4.2605
A3	9	-17.9278
A3	10	-33.8999
A3	11	1.2717
A3	12	0.7901
A3	13	-1.7833
A3	14	17.7871
A3	15	11.4166
A3	16	14.0195
A3	17	30.6417
A3	18	29.537
A3	19	55.5592
A3	20	61.256
A3	21	65.8806
A3	22	62.2535
A3	23	92.7237
A3	24	81.3338
A3	25	121.1208
A3	26	121.2148
A3	27	133.6903
A3	28	126.7184
A3	29	126.5708
A3	30	130.4918
A3	31	146.578
A3	32	153.8132
A3	33	165.9628
A3	34	192.2649
A3	35	214.2285
A3	36	277.0593
A3	37	398.4741
A3	38	568.8185
A3	39	917.0546
A3	40	1484.4403
A4	1	15.208
A4	2	31.8293
A4	3	28.4113
A4	4	-1.1448
A4	5	-7.446
A4	6	-3.347
A4	7	5.4144
A4	8	-5.1257
A4	9	-18.0946
A4	10	-37.5608
A4	11	7.8896
A4	12	4.7176
A4	13	8.0227
A4	14	3.4193
A4	15	14.844
A4	16	11.1919
A4	17	14.7499
A4	18	29.4058
A4	19	24.2654
A4	20	22.2335
A4	21	35.4628
A4	22	34.9981
A4	23	16.259
A4	24	26.7755
A4	25	34.8591
A4	26	42.4272
A4	27	60.0051
A4	28	68.6537
A4	29	73.1218
A4	30	80.8952
A4	31	81.3641
A4	32	87.636
A4	33	104.8365
A4	34	98.0621
A4	35	103.2239
A4	36	90.4523
A4	37	125.3104
A4	38	111.3251
A4	39	129.1843
A4	40	135.203
A5	1	94.708
A5	2	66.24
A5	3	29.4494
A5	4	19.7893
A5	5	3.6418
A5	6	-23.2955
A5	7	-26.1235
A5	8	-6.3998
A5	9	-17.0465
A5	10	-17.7084
A5	11	3.6852
A5	12	-4.0014
A5	13	14.6433
A5	14	14.7509
A5	15	8.6152
A5	16	5.4326
A5	17	10.2424
A5	18	18.1175
A5	19	31.523
A5	20	28.9861
A5	21	41.9924
A5	22	34.8255
A5	23	19.5054
A5	24	29.663
A5	25	27.9705
A5	26	19.3156
A5	27	31.4185
A5	28	26.5453
A5	29	29.9926
A5	30	24.16
A5	31	19.8842
A5	32	27.3939
A5	33	32.3329
A5	34	31.0227
A5	35	22.7252
A5	36	29.0315
A5	37	37.7897
A5	38	27.0089
A5	39	32.4594
A5	40	35.9578
A6	1	124.4935
A6	2	65.5038
A6	3	41.6762
A6	4	14.7582
A6	5	-6.515
A6	6	-2.7556
A6	7	-14.6907
A6	8	-11.642
A6	9	-29.4895
A6	10	-43.739
A6	11	-10.1979
A6	12	0.2944
A6	13	21.3279
A6	14	19.4002
A6	15	21.5728
A6	16	41.3067
A6	17	52.4956
A6	18	42.7669
A6	19	64.4736
A6	20	82.369
A6	21	77.5882
A6	22	84.8621
A6	23	92.0075
A6	24	100.9257
A6	25	121.1955
A6	26	107.0112
A6	27	125.0838
A6	28	125.1238
A6	29	148.5134
A6	30	152.7248
A6	31	159.109
A6	32	181.9679
A6	33	188.6208
A6	34	187.7517
A6	35	191.171
A6	36	201.656
A6	37	218.1288
A6	38	205.5584
A6	39	233.28
A6	40	241.11
A7	1	29.9333
A7	2	49.0097
A7	3	15.1425
A7	4	8.3678
A7	5	0.0913
A7	6	-3.7373
A7	7	1.0921
A7	8	-11.8699
A7	9	-21.333
A7	10	-10.8702
A7	11	3.8093
A7	12	-2.1763
A7	13	2.4701
A7	14	2.0201
A7	15	16.9934
A7	16	-0.2972
A7	17	1.5783
A7	18	6.6553
A7	19	7.8748
A7	20	-4.3786
A7	21	-2.5419
A7	22	13.234
A7	23	13.1192
A7	24	6.9599
A7	25	10.1087
A7	26	16.2025
A7	27	3.1172
A7	28	17.2042
A7	29	29.7811
A7	30	21.625
A7	31	13.0066
A7	32	2.7929
A7	33	-3.3199
A7	34	10.5276
A7	35	17.0536
A7	36	1.0772
A7	37	-0.4786
A7	38	-7.3666
A7	39	-2.9416
A7	40	2.835
A8	1	48.342
A8	2	48.6618
A8	3	14.5071
A8	4	8.7633
A8	5	-2.7868
A8	6	10.5713
A8	7	-0.4621
A8	8	-14.0028
A8	9	-1.8552
A8	10	-34.2606
A8	11	-8.4596
A8	12	-17.8529
A8	13	7.2823
A8	14	19.2269
A8	15	19.3289
A8	16	23.3128
A8	17	34.7034
A8	18	38.147
A8	19	51.8757
A8	20	55.9971
A8	21	52.3604
A8	22	68.4371
A8	23	90.0899
A8	24	91.7561
A8	25	96.2106
A8	26	113.3906
A8	27	122.8367
A8	28	126.411
A8	29	139.782
A8	30	130.9265
A8	31	157.8033
A8	32	179.7149
A8	33	172.0612
A8	34	174.2419
A8	35	179.446
A8	36	191.0625
A8	37	201.4833
A8	38	214.1004
A8	39	233.4569
A8	40	237.6989
B1	1	
B1	2	
B1	3	
B1	4	
B1	5	
B1	6	
B1	7	
B1	8	
B1	9	
B1	10	
B1	11	
B1	12	
B1	13	
B1	14	
B1	15	
B1	16	
B1	17	
B1	18	
B1	19	
B1	20	
B1	21	
B1	22	
B1	23	
B1	24	
B1	25	
B1	26	
B1	27	
B1	28	
B1	29	
B1	30	
B1	31	
B1	32	
B1	33	
B1	34	
B1	35	
B1	36	
B1	37	
B1	38	
B1	39	
B1	40	
B2	1	
B2	2	
B2	3	
B2	4	
B2	5	
B2	6	
B2	7	
B2	8	
B2	9	
B2	10	
B2	11	
B2	12	
B2	13	
B2	14	
B2	15	
B2	16	
B2	17	
B2	18	
B2	19	
B2	20	
B2	21	
B2	22	
B2	23	
B2	24	
B2	25	
B2	26	
B2	27	
B2	28	
B2	29	
B2	30	
B2	31	
B2	32	
B2	33	
B2	34	
B2	35	
B2	36	
B2	37	
B2	38	
B2	39	
B2	40	
B3	1	
B3	2	
B3	3	
B3	4	
B3	5	
B3	6	
B3	7	
B3	8	
B3	9	
B3	10	
B3	11	
B3	12	
B3	13	
B3	14	
B3	15	
B3	16	
B3	17	
B3	18	
B3	19	
B3	20	
B3	21	
B3	22	
B3	23	
B3	24	
B3	25	
B3	26	
B3	27	
B3	28	
B3	29	
B3	30	
B3	31	
B3	32	
B3	33	
B3	34	
B3	35	
B3	36	
B3	37	
B3	38	
B3	39	
B3	40	
B4	1	
B4	2	
B4	3	
B4	4	
B4	5	
B4	6	
B4	7	
B4	8	
B4	9	
B4	10	
B4	11	
B4	12	
B4	13	
B4	14	
B4	15	
B4	16	
B4	17	
B4	18	
B4	19	
B4	20	
B4	21	
B4	22	
B4	23	
B4	24	
B4	25	
B4	26	
B4	27	
B4	28	
B4	29	
B4	30	
B4	31	
B4	32	
B4	33	
B4	34	
B4	35	
B4	36	
B4	37	
B4	38	
B4	39	
B4	40	
B5	1	
B5	2	
B5	3	
B5	4	
B5	5	
B5	6	
B5	7	
B5	8	
B5	9	
B5	10	
B5	11	
B5	12	
B5	13	
B5	14	
B5	15	
B5	16	
B5	17	
B5	18	
B5	19	
B5	20	
B5	21	
B5	22	
B5	23	
B5	24	
B5	25	
