* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-27  Muestras roedores 2.eds
* Experiment Run End Time = 2015-04-27 16:54:12 PM ART
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
A1	1	102.9297
A1	2	106.59
A1	3	63.2771
A1	4	12.0988
A1	5	-1.9972
A1	6	-8.1002
A1	7	-2.7482
A1	8	3.5307
A1	9	-15.1203
A1	10	-15.4483
A1	11	-3.7457
A1	12	-19.1861
A1	13	-27.0123
A1	14	6.7589
A1	15	-10.4475
A1	16	-2.7775
A1	17	-7.29
A1	18	6.8952
A1	19	-14.208
A1	20	6.7335
A1	21	-9.6243
A1	22	3.8436
A1	23	-1.2812
A1	24	-5.2586
A1	25	8.7168
A1	26	8.2791
A1	27	-17.0901
A1	28	-1.0818
A1	29	2.4856
A1	30	20.7514
A1	31	6.203
A1	32	12.8435
A1	33	13.7455
A1	34	29.0579
A1	35	36.2985
A1	36	59.6533
A1	37	80.7915
A1	38	142.8642
A1	39	226.1033
A1	40	364.9226
A2	1	-21.4926
A2	2	0.226
A2	3	14.1735
A2	4	-35.4559
A2	5	-24.0399
A2	6	-12.3258
A2	7	8.6614
A2	8	31.4321
A2	9	33.2959
A2	10	18.3563
A2	11	3.1073
A2	12	23.4551
A2	13	-11.5124
A2	14	-36.9339
A2	15	6.119
A2	16	-15.7935
A2	17	7.5653
A2	18	-16.0693
A2	19	-17.5649
A2	20	9.9504
A2	21	1.1104
A2	22	8.75
A2	23	35.5165
A2	24	-12.7786
A2	25	-7.111
A2	26	-4.0258
A2	27	1.9256
A2	28	-24.6388
A2	29	-16.2248
A2	30	30.8264
A2	31	-38.2357
A2	32	38.4647
A2	33	-37.1065
A2	34	3.4276
A2	35	26.8542
A2	36	63.1627
A2	37	102.9967
A2	38	163.7313
A2	39	282.2701
A2	40	413.3376
A3	1	71.8411
A3	2	77.2869
A3	3	29.9167
A3	4	2.711
A3	5	7.3021
A3	6	-8.344
A3	7	-16.9866
A3	8	1.6139
A3	9	0.3043
A3	10	27.0777
A3	11	-0.4064
A3	12	-19.7782
A3	13	-18.7924
A3	14	-6.5555
A3	15	-4.1471
A3	16	-18.0381
A3	17	3.3088
A3	18	-1.0065
A3	19	-11.846
A3	20	-2.0117
A3	21	-3.4193
A3	22	13.2915
A3	23	10.0021
A3	24	-3.0483
A3	25	14.5348
A3	26	-1.7158
A3	27	-5.368
A3	28	-4.605
A3	29	1.2438
A3	30	14.7623
A3	31	4.6118
A3	32	52.7284
A3	33	65.2134
A3	34	137.3927
A3	35	242.256
A3	36	353.9019
A3	37	502.715
A3	38	692.462
