"Variable" "Tipo" "Descripción"
"id" "character" "ID del individuo"
"muestreo" "factor" ""
"fecha" "Date" "Fecha de captura"
"nro.trampa" "character" ""
"tipo.trampa" "factor" "Sherman/Tomahawk"
"sitio" "factor" "Sitio de Captura"
"sector" "factor" "Borde/Centro/Natural"
"especie" "factor" ""
"edad" "factor" "Juvenil/Subadulto/Adulto"
"cc1" "factor" "Condición corporal columna"
"cc2" "factor" "Condición corporal cadera"
"BCS" "factor" "Body Condition Score"
"peso" "numeric" "Peso(g)"
"largo.total" "numeric" "Largo total(cm)"
"cola" "factor" "Largo de la cola(cm)"
"cuerpo" "numeric" "Largo del cuerpo(cm)"
"BMI" "numeric" "Índice de masa corporal (logpeso/loglargo)"
"pata" "numeric" "Largo de la pata trasera(mm)"
"oreja" "numeric" "Largo de la oreja (mm)"
"sexo" "factor" "Macho/Hembra"
"testiculos" "factor" "Abdominal/Escrotal"
"v.seminales" "factor" "Desarrollada/No desarrolladas"
"vagina" "factor" "Cerrada/Perforada"
"mamas" "factor" "Desarrolladas/No Desarrolladas"
"gestante" "factor" "Preñada/No preñada"
"cicatrices.utero" "factor" "Presentes/Ausentes"
"fetos" "integer" "Número de fetos"
"heridas" "factor" "Si/No"
"lipl32" "factor" "Positivo/Negativo"
"COI" "factor" ""
"observaciones" "character" ""
