"id" "muestreo" "fecha" "nro.trampa" "tipo.trampa" "sitio" "sector" "especie" "edad" "cc1" "cc2" "BCS" "peso" "largo.total" "cola" "cuerpo" "BMI" "pata" "oreja" "sexo" "testiculos" "v.seminales" "vagina" "mamas" "gestante" "cicatrices.utero" "fetos" "heridas" "observaciones" "ratio.260.280" "dsDNA" "fecha.lectura" "extraccion" "dilucion" "18S" "LipL32" "Fecha.PCR" "comentarios"
"av01" 1 "2014-09-18" "costa4" "t" "alto.verde" "borde" "rattus.norvegicus" "a" 3 3 3 500 45 20 25 1.93 37 18 "f" "" "" "p" "d" "s" "" 10 "n" "" 1.95 1781.06 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"av02" 2 "2015-03-25" "j1" "s" "alto.verde" "centro" "mus.musculus" "a" 4 3 3.5 15.7 16.4 8.5 7.9 1.33 20.5 15 "m" "e" "d" "" "" "n" "" 0 "n" "" 2.04 1537.77 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"av03" 2 "2015-03-25" "g3" "s" "alto.verde" "centro" "mus.musculus" "a" 3 2 2.5 18.3 17.5 8.4 9.1 1.32 20.2 15 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.74 74.84 "2016-03-30" 2 "si" "p" "n" "2016-03-30" NA
"av03" 2 "2015-03-25" "g3" "s" "alto.verde" "centro" "mus.musculus" "a" 3 2 2.5 18.3 17.5 8.4 9.1 1.32 20.2 15 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.28 3136.7 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"av04" 2 "2015-03-26" "h5" "s" "alto.verde" "centro" "mus.musculus" "j" 3 2 2.5 15.6 13.3 8.4 4.9 1.73 20.5 15.3 "f" "" "" "c" "d" "n" "n" 0 "n" "" 2.01 541.04 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"av05" 2 "2015-03-26" "h2" "s" "alto.verde" "centro" "mus.musculus" "s" 3 2 2.5 11.5 14.4 7.4 7 1.26 15 13 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.99 823.29 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"av06" 2 "2015-03-26" "g5" "s" "alto.verde" "centro" "mus.musculus" "a" 3 2 2.5 17.3 16 7.5 8.5 1.33 21 12 "f" "" "" "" "n" "s" "" 6 "n" "" 1.99 803 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"av07" 3 "2015-09-30" "e3" "s" "alto.verde" "centro" "mus.musculus" "a" 3 2 2.5 10.9 14.1 7.6 6.5 1.28 16.6 12.2 "f" "" "" "p" "n" "n" "n" 0 "n" "⁄tero inflamado" 1.52 101.41 "2016-03-22" 1 "si" "p" "n" "2016-03-23" "Se us√≥ todo el ri√±√≥n (<0.2g)"
"av08" 3 "2015-09-30" "d1" "s" "alto.verde" "centro" "mus?" "a" 1 1 1 11 17.1 9.7 7.4 1.2 21.8 12.7 "f" "" "" "p" "d" "s" "" 3 "s" "" 1.78 137.41 "2016-03-22" 1 "si" NA "n" "2016-03-23" "Se us√≥ todo el ri√±√≥n (<0.2g)"
"av09" 3 "2015-09-30" "b2" "s" "alto.verde" "centro" "mus.musculus" "a" 3 2 2.5 15.5 15.4 7.9 7.5 1.36 17.7 13.4 "f" "" "" "p" "d" "s" "" 6 "s" "" 1.74 149.57 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"av10" 3 "2015-10-01" "b4" "s" "alto.verde" "centro" "mus.musculus" "a" 3 2 2.5 15.1 16.4 8.9 7.5 1.35 17.1 12.3 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.76 126.67 "2016-03-21" 1 "si" NA "n" "2016-03-23" NA
"av13" 3 "2015-10-02" "b3" "s" "alto.verde" "centro" "mus.musculus" "j" 2 1 1.5 4.5 11.1 6.3 4.8 0.96 16.5 8.4 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.69 135.48 "2016-03-11" 1 "no" NA "n" "2016-03-23" NA
"av14" 3 "2015-10-02" "a5" "s" "alto.verde" "centro" "mus.musculus" "a" 2 1 1.5 18.4 17.9 9.7 8.2 1.38 17.8 15 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.74 156.37 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"av14" 3 "2015-10-02" "a5" "s" "alto.verde" "centro" "mus.musculus" "a" 2 1 1.5 18.4 17.9 9.7 8.2 1.38 17.8 15 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.74 77.15 "2016-03-11" 1 "no" "n" NA "2016-03-23" "Repetir extracci√≥n"
"av15" 3 "2015-10-02" "b4" "s" "alto.verde" "centro" "mus?" "a" 3 2 2.5 18.8 19.1 11.3 7.8 1.43 23.3 13.4 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.75 46 "2016-03-21" 1 "si" "p" "n" "2016-03-23" NA
"av16" 3 "2015-10-02" "l3" "s" "alto.verde" "borde" "calomys?" "s" 4 2 3 16.9 18.3 10.6 7.7 1.39 23.4 14.4 "m" "a" "n" "" "" "n" "" 0 "n" "" 1.8 147.4 "2016-03-11" 1 "no" NA "n" "2016-03-23" NA
"cs01" 1 "2014-09-25" "l3" "s" "colastine.sur" "centro" "thylamys.pulchellus" "a" 2 2 2 18.9 19.4 10.5 8.9 1.34 15 14 "f" "" "" "" "n" "n" "" 0 "n" "" 1.01 3145.01 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"cs01" 1 "2014-09-25" "l3" "s" "colastine.sur" "centro" "thylamys.pulchellus" "a" 2 2 2 18.9 19.4 10.5 8.9 1.34 15 14 "f" "" "" "" "n" "n" "" 0 "n" "" 1.75 113.17 "2016-03-30" 2 "si" "n" "n" "2016-03-30" "Negativo en 18S por ser marsupial"
"cs02" 2 "2015-03-19" "e2" "s" "colastine.sur" "borde" "scapteromys.aquaticus" "s" 4 4 4 136.8 32.7 16 16.7 1.75 36 23 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.6 50.46 "2016-03-30" 2 "si" "p" "n" "2016-03-30" NA
"cs02" 2 "2015-03-19" "e2" "s" "colastine.sur" "borde" "scapteromys.aquaticus" "s" 4 4 4 136.8 32.7 16 16.7 1.75 36 23 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.22 3229.4 "2014-10-27" 1 "no" NA "n" "2015-04-27" "Repetir extracci√≥n"
"cs03" 2 "2015-03-20" "d2" "s" "colastine.sur" "borde" "oligoryzomys" "a" 2 2 2 19.5 19.2 11 8.2 1.41 25 15 "f" "" "" "c" "d" "s" "" 4 "n" "" 1.96 1210.74 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"cs04" 2 "2015-03-20" "a2" "s" "colastine.sur" "borde" "mus.musculus" "a" 4 3 3.5 17.8 17 8.6 8.4 1.35 22 15.2 "m" "e" "d" "" "" "n" "" 0 "n" "" 2.05 1696.19 "2014-10-27" 1 "no" NA "n" "2015-04-27" NA
"cs05" 3 "2015-09-25" "c4" "s" "colastine.sur" "borde" "oligoryzomys" "a" 2 2 2 17.5 19.5 11.4 8.1 1.37 23.95 13.6 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.8 179.4 "2016-03-21" 1 "si" "p" "n" "2016-03-30" NA
"cs06" 3 "2015-09-25" "a2" "s" "colastine.sur" "borde" "akodon?" "a" NA NA NA 20.6 16.2 7.7 8.5 1.41 16.35 14 "f" "" "" "c" "d" "n" "s" 0 "n" "TapÛn vaginal, hepatomegalia" 1.74 46.13 "2016-03-21" 1 "si" "p" "n" "2016-03-30" NA
"cs07" 3 "2015-09-25" "a5" "s" "colastine.sur" "borde" "oligoryzomys" "a" 2 2 2 10.6 17.6 10.6 7 1.21 23.1 14.4 "f" "" "" "p" "n" "s" "" 0 "n" "primeras etapas de gestaciÛn" 1.78 181.36 "2016-03-21" 1 "si" NA "n" "2016-03-30" NA
"cs08" 3 "2015-09-25" "l5" "s" "colastine.sur" "natural" "thylamys.pulchellus" "a" 1 1 1 12.9 19.2 10.6 8.6 1.19 14.4 15.7 "m" "e" "" "" "" "n" "" 0 "n" "" 1.77 114.47 "2016-03-29" 2 "si" "n" NA "2019-03-23" "Repetir extracci√≥n"
"cs08" 3 "2015-09-25" "l5" "s" "colastine.sur" "natural" "thylamys.pulchellus" "a" 1 1 1 12.9 19.2 10.6 8.6 1.19 14.4 15.7 "m" "e" "" "" "" "n" "" 0 "n" "" 1.74 41.31 "2016-03-22" 2 "si" "n" "n" "2016-03-30" "Negativo en 18S por ser marsupial"
"cs09" 3 "2015-09-25" "e2" "s" "colastine.sur" "borde" "scapteromys?" "a" 3 2 2.5 143.8 31.1 14.9 16.2 1.78 35.9 18.55 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.76 121.12 "2016-03-21" 1 "si" NA "n" "2016-03-30" NA
